"Name","Runtime","train/epoch","dropout","l_rate","n_cnn_layers","optimizer","train/loss","validation/loss","test/loss","validation/MSE","test/MSE"
"fluent-sweep-14","79","2","0.1","0.001","1","Adam","0.011116266250610352","0.008257303530588112","0.007814112960153984","0.008257303530588112","0.007814112960153984"
"dazzling-sweep-15","81","2","0.1","0.001","1","AdamW","0.01478901132941246","0.008579926307689636","0.008446798983236982","0.008579926307689636","0.008446798983236982"
"ruby-sweep-24","84","2","0.1","0.0001","3","AdamW","0.004757493268698454","0.0079457768204404","0.008739355786625916","0.0079457768204404","0.008739355786625916"
"serene-sweep-23","85","2","0.1","0.0001","3","Adam","0.009498676285147669","0.00797952320723933","0.009265831933589652","0.00797952320723933","0.009265831933589652"
"true-sweep-27","81","2","0.2","0.001","1","AdamW","0.02390979789197445","0.010174265849661636","0.009900322982705094","0.010174265849661636","0.009900322982705094"
"summer-sweep-36","84","2","0.2","0.0001","3","AdamW","0.016556695103645325","0.011805575018986426","0.012577815366158675","0.011805575018986426","0.012577815366158675"
"firm-sweep-35","89","2","0.2","0.0001","3","Adam","0.020371004939079285","0.01852331321409091","0.01888226680198891","0.01852331321409091","0.01888226680198891"
"warm-sweep-26","79","2","0.2","0.001","1","Adam","0.02110859751701355","0.017615651741544617","0.019283162921460137","0.017615651741544617","0.019283162921460137"
"ethereal-sweep-1","85","2","0.05","0.001","1","SGD","0.08478237688541412","0.0430531613132421","0.0605793499853462","0.0430531613132421","0.0605793499853462"
"rural-sweep-25","84","2","0.2","0.001","1","SGD","0.05553526431322098","0.041581497012459216","0.06200189686690768","0.041581497012459216","0.06200189686690768"
"smart-sweep-13","85","2","0.1","0.001","1","SGD","0.04693009704351425","0.045288549220942435","0.06322709667599863","0.045288549220942435","0.06322709667599863"
"hardy-sweep-4","84","2","0.05","0.001","3","SGD","0.05357740446925163","0.05473261393923709","0.06758332275785506","0.05473261393923709","0.06758332275785506"
"chocolate-sweep-16","81","2","0.1","0.001","3","SGD","0.07653680443763733","0.06725319958430656","0.07337917998019192","0.06725319958430656","0.07337917998019192"
"olive-sweep-19","80","2","0.1","0.0001","1","SGD","0.11773310601711272","0.0857755794645624","0.10371481973884834","0.0857755794645624","0.10371481973884834"
"legendary-sweep-28","83","2","0.2","0.001","3","SGD","0.10561814159154892","0.11099390741041366","0.10434910510149269","0.11099390741041366","0.10434910510149269"
"neat-sweep-7","80","2","0.05","0.0001","1","SGD","0.10280540585517885","0.09028977227020772","0.10934351979651386","0.09028977227020772","0.10934351979651386"
"quiet-sweep-31","80","2","0.2","0.0001","1","SGD","0.11202015727758408","0.1020958347523466","0.11851075617596508","0.1020958347523466","0.11851075617596508"
"autumn-sweep-10","83","2","0.05","0.0001","3","SGD","0.14435212314128876","0.11942873831759108","0.1357304268102679","0.11942873831759108","0.1357304268102679"
"vague-sweep-22","83","2","0.1","0.0001","3","SGD","0.17105033993721008","0.13593894219461908","0.14929199891371858","0.13593894219461908","0.14929199891371858"
"young-sweep-34","84","2","0.2","0.0001","3","SGD","0.18850938975811005","0.1535236470876856","0.1593389766704705","0.1535236470876856","0.1593389766704705"
